,Description,Location Description,Arrest,Domestic,beatnum,Language,housingcrowdedpct,belowpovertypct,adultnojobpct,adultnohighschoolpct,under18above64pct,incomepercapita,hardshipindex,Temperature,Snowfall,Severity
3504,68,27,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,50.7,19.8,0
6991,34,27,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,0
5045,49,37,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,54.5,30.1,0
276,13,12,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,50.7,19.8,0
6190,6,25,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,1
9085,87,5,0,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,51.5,57.9,0
2873,11,5,1,0,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,48.7,52.7,0
18831,8,2,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,54.5,30.1,0
3479,102,25,0,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,50.7,19.8,0
12143,22,5,1,1,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,1
17371,68,25,1,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,50.7,19.8,0
13684,1,34,1,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,50.7,19.8,1
11303,33,25,1,0,16845,3,1.5,18.4,8.4,4.3,26.2,39056,14,48.7,54.2,1
9666,68,25,1,0,12270,1,9.6,25.8,15.8,40.7,32.6,16444,76,48.7,54.2,0
11317,17,3,1,0,16845,3,1.5,18.4,8.4,4.3,26.2,39056,14,51.5,57.9,1
15428,11,5,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,50.7,19.8,0
17008,29,27,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,54.2,0
6017,71,11,0,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,0
16103,21,3,0,0,21870,1,5.8,14.9,9.6,33.6,39.6,16907,56,48.7,54.2,0
18267,49,4,0,0,21801,1,3.6,29.6,23.0,16.5,41.0,17285,66,48.7,54.2,0
10140,97,4,0,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,51.5,57.9,0
4013,33,27,1,0,4701,1,6.9,20.5,13.1,41.6,36.4,15089,71,50.7,19.8,1
1778,68,25,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,51.5,57.9,0
3519,12,4,1,0,5070,1,8.1,15.3,13.8,23.5,38.6,22014,50,50.7,19.8,1
5858,22,27,1,0,10850,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,54.2,1
1149,31,25,1,1,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,0
3460,22,27,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,48.7,54.2,1
16447,4,5,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,54.2,0
7639,7,5,1,0,12345,1,9.4,41.7,25.8,24.5,43.6,10934,92,50.7,19.8,0
15807,4,24,1,0,21870,1,15.8,23.4,18.2,51.5,38.8,12171,93,50.7,19.8,0
16837,3,27,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,51.5,57.9,0
2150,68,25,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,0
19661,8,2,0,0,37845,1,0.8,13.2,15.0,10.8,40.3,27149,30,50.7,19.8,0
4652,4,0,1,0,7470,1,3.2,16.8,8.2,14.8,26.2,31908,23,48.7,54.2,0
16697,19,57,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,52.7,0
3358,22,27,1,1,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,51.5,57.9,1
4885,45,27,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,48.7,54.2,0
2734,6,0,1,0,5070,1,3.9,13.2,9.9,14.4,39.0,26576,33,48.7,52.7,1
9951,5,27,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,50.7,19.8,0
4170,47,27,0,0,4701,1,6.0,15.3,9.2,24.7,31.0,20039,42,51.5,57.9,1
1356,33,54,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,54.5,30.1,1
9794,35,4,1,1,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,54.5,30.1,0
16577,4,5,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,51.5,57.9,0
9381,34,27,1,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,54.5,30.1,0
10163,11,9,0,0,12270,3,1.3,13.8,4.9,7.4,21.8,59077,7,48.7,54.2,0
2876,68,27,1,0,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,50.7,19.8,0
7543,153,9,0,0,12345,1,9.4,41.7,25.8,24.5,43.6,10934,92,51.5,57.9,0
10528,117,5,0,0,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,50.7,19.8,0
8454,68,0,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,50.7,19.8,0
2992,46,0,1,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,48.7,54.2,1
824,7,37,1,0,3345,1,3.8,24.0,8.9,11.8,22.2,35787,20,51.5,57.9,0
11977,4,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
11546,102,48,0,0,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,51.5,57.9,0
19203,6,37,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,54.2,1
10537,140,9,0,0,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,54.5,30.1,0
17612,4,19,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,0
11606,34,27,1,1,18345,1,2.9,30.7,23.4,16.5,36.1,18672,58,51.5,57.9,0
18502,26,24,1,0,21801,1,4.0,10.4,11.7,17.7,36.9,23482,37,51.5,57.9,0
8978,7,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,54.2,0
5952,49,9,0,0,10850,1,2.3,14.7,6.6,12.9,21.7,43198,10,51.5,57.9,0
4980,7,4,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,48.7,52.7,0
19746,17,5,1,0,37845,2,3.6,15.4,7.1,10.9,30.3,25828,24,51.5,57.9,1
10603,52,4,1,0,16845,1,3.2,51.2,33.9,26.6,44.9,10432,97,48.7,52.7,1
19050,19,34,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,50.7,19.8,0
8806,7,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,54.5,30.1,0
6411,22,27,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
12837,6,5,1,0,17070,4,1.4,17.2,21.1,10.6,39.3,24454,41,48.7,52.7,1
5437,19,46,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,50.7,19.8,0
4733,6,37,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,54.5,30.1,1
2055,121,25,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,52.7,0
1871,6,25,0,1,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,52.7,1
14411,22,44,1,1,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,51.5,57.9,1
17358,60,25,0,1,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,54.5,30.1,1
16741,22,27,1,1,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,52.7,1
9316,32,5,1,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,51.5,57.9,1
19588,35,44,0,1,37845,1,0.8,13.2,15.0,10.8,40.3,27149,30,51.5,57.9,0
3422,68,19,1,0,5070,2,5.2,10.6,10.0,16.2,33.6,26282,28,51.5,57.9,0
17212,45,27,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,54.5,30.1,0
14154,22,25,0,1,13701,1,6.8,19.2,12.1,31.9,42.8,17104,64,48.7,54.2,1
17498,22,0,1,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,50.7,19.8,1
15126,4,27,1,0,15501,1,7.2,18.7,13.4,32.9,35.6,16954,61,51.5,57.9,0
18749,6,27,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,50.7,19.8,1
5497,7,5,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,54.5,30.1,0
4410,93,4,0,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,48.7,52.7,0
1769,59,27,0,1,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,48.7,54.2,1
10854,44,5,1,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,48.7,54.2,0
5167,8,2,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,50.7,19.8,0
17369,5,28,0,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,54.5,30.1,0
15628,4,5,1,0,21870,1,11.9,29.0,23.0,41.5,38.9,12765,91,54.5,30.1,0
15567,6,4,0,0,21870,1,11.9,29.0,23.0,41.5,38.9,12765,91,48.7,54.2,1
16905,6,4,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,52.7,1
17666,49,4,0,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,51.5,57.9,0
15398,11,5,1,0,15501,1,11.9,29.0,23.0,41.5,38.9,12765,91,48.7,52.7,0
11931,33,27,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,1
14622,4,27,1,0,22849,1,3.3,17.1,9.6,19.2,42.9,22677,44,51.5,57.9,0
14,6,7,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,51.5,57.9,1
8320,34,27,1,1,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,51.5,57.9,0
19754,6,80,1,0,37845,2,3.6,15.4,7.1,10.9,30.3,25828,24,51.5,57.9,1
523,19,12,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,48.7,52.7,0
6538,6,25,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,1
8980,4,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,54.2,0
5993,6,27,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
8457,11,55,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,50.7,19.8,0
1219,1,6,0,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,51.5,57.9,1
6902,6,5,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,51.5,57.9,1
4916,29,15,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,51.5,57.9,0
12772,3,19,1,0,17070,4,1.4,17.2,21.1,10.6,39.3,24454,41,48.7,54.2,0
5212,11,46,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,48.7,52.7,0
54,13,3,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,54.5,30.1,0
2383,74,5,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,50.7,19.8,0
16556,3,19,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,54.5,30.1,0
16544,49,22,0,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,0
3897,17,5,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,54.2,1
12747,75,5,0,0,17070,4,1.4,17.2,21.1,10.6,39.3,24454,41,48.7,54.2,0
18535,8,1,0,0,21801,1,4.0,10.4,11.7,17.7,36.9,23482,37,48.7,52.7,0
7087,47,3,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
11821,7,27,1,1,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
12675,4,5,0,0,17070,1,3.3,27.8,24.0,14.5,40.3,18881,60,51.5,57.9,0
17374,22,25,1,1,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,1
14264,16,27,1,0,13701,1,3.3,25.9,19.4,20.5,42.1,16563,62,50.7,19.8,0
16162,7,5,1,0,21870,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,54.2,0
18743,9,0,1,1,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
4078,33,27,1,0,4701,1,6.9,20.5,13.1,41.6,36.4,15089,71,48.7,52.7,1
10098,68,19,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,50.7,19.8,0
14568,6,0,1,1,22849,1,5.8,56.5,34.6,27.5,51.5,8201,98,48.7,52.7,1
16890,33,12,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,52.7,1
7151,31,27,1,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,0
2133,22,25,1,1,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,1
18933,59,12,1,1,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,1
3312,22,27,1,1,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,54.5,30.1,1
13154,6,5,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,48.7,54.2,1
10325,22,4,0,1,12270,3,5.7,40.1,16.7,34.5,38.3,16148,82,54.5,30.1,1
661,34,5,1,1,1336,1,3.8,24.0,8.9,11.8,22.2,35787,20,48.7,54.2,0
1480,17,5,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,54.5,30.1,1
2505,22,25,1,1,3870,2,2.0,5.4,9.0,11.5,39.5,32875,21,54.5,30.1,1
3323,9,0,1,0,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,51.5,57.9,0
17160,5,28,1,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,50.7,19.8,0
13271,6,22,1,0,17070,4,6.8,33.0,18.6,19.3,42.7,12515,79,50.7,19.8,1
195,1,12,0,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,54.5,30.1,1
1867,65,44,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,50.7,19.8,0
68,7,17,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,48.7,54.2,0
16759,6,25,0,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,54.2,1
4304,22,25,1,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,54.5,30.1,1
11247,41,38,0,0,16845,3,1.5,18.4,8.4,4.3,26.2,39056,14,50.7,19.8,0
16312,6,5,1,0,21870,1,7.6,27.9,17.1,31.2,40.6,13231,80,51.5,57.9,1
6385,22,5,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,52.7,1
9327,4,27,1,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,50.7,19.8,0
1880,1,2,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,1
16071,6,25,1,0,21870,1,5.8,14.9,9.6,33.6,39.6,16907,56,48.7,54.2,1
17805,22,27,1,1,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,1
1750,68,31,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,54.5,30.1,0
4882,1,43,0,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,50.7,19.8,1
12345,9,25,1,0,18345,1,3.3,27.8,24.0,14.5,40.3,18881,60,48.7,52.7,0
373,7,12,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,48.7,52.7,0
3656,22,4,1,1,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,54.2,1
6979,102,9,0,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,0
4658,6,5,0,0,7470,1,3.2,16.8,8.2,14.8,26.2,31908,23,50.7,19.8,1
5030,68,25,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,48.7,52.7,0
18931,68,19,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,54.5,30.1,0
18951,28,5,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
13859,65,4,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,54.2,0
14337,12,16,0,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,48.7,54.2,1
19328,22,9,1,1,37845,1,1.1,16.9,20.8,13.7,42.6,19713,48,54.5,30.1,1
3887,6,27,1,1,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,52.7,1
15045,13,13,1,0,15501,1,14.4,23.6,13.9,45.1,39.3,13089,84,48.7,54.2,0
2681,33,25,1,0,5070,1,3.9,13.2,9.9,14.4,39.0,26576,33,54.5,30.1,1
1754,7,4,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,48.7,54.2,0
5382,20,43,0,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,54.2,0
17587,32,9,1,1,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,52.7,1
13208,7,5,1,0,17070,1,4.7,29.8,19.7,26.6,41.1,16579,75,51.5,57.9,0
2710,49,4,0,0,5070,1,3.9,13.2,9.9,14.4,39.0,26576,33,50.7,19.8,0
137,40,22,0,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,50.7,19.8,1
3291,31,27,1,0,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,48.7,52.7,0
6493,94,25,1,1,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,0
14438,17,5,1,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,54.5,30.1,1
5443,4,27,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,51.5,57.9,0
16588,59,9,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,1
13720,49,44,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,51.5,57.9,0
8067,40,19,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,48.7,54.2,1
16501,33,34,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,54.5,30.1,1
7316,8,1,0,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,0
7084,169,5,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,50.7,19.8,1
2737,4,5,1,0,5070,1,3.9,13.2,9.9,14.4,39.0,26576,33,48.7,54.2,0
308,4,3,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,48.7,54.2,0
11331,11,3,1,0,16845,3,1.5,18.4,8.4,4.3,26.2,39056,14,48.7,52.7,0
8807,17,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,54.2,1
17806,17,3,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,51.5,57.9,1
1971,6,27,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,1
9003,6,5,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,51.5,57.9,1
1263,33,25,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,51.5,57.9,1
9475,7,5,1,0,12270,1,15.2,30.7,15.8,54.8,33.8,10402,96,48.7,52.7,0
8399,6,4,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,54.5,30.1,1
5331,46,9,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,51.5,57.9,1
11659,7,5,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,0
18377,43,25,1,0,21801,1,3.6,29.6,23.0,16.5,41.0,17285,66,54.5,30.1,0
2872,49,5,0,0,5070,1,11.3,19.2,10.0,32.9,32.0,21323,53,54.5,30.1,0
37,19,14,1,0,1336,1,7.7,23.6,8.7,18.2,27.5,23939,39,50.7,19.8,0
16936,49,3,0,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,50.7,19.8,0
9118,32,13,1,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,48.7,52.7,1
775,20,5,0,0,3345,1,3.8,24.0,8.9,11.8,22.2,35787,20,48.7,54.2,0
1399,1,30,0,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,50.7,19.8,1
3739,34,27,1,0,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,54.2,0
4546,22,34,1,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,48.7,52.7,1
16336,11,5,1,0,21870,1,7.6,27.9,17.1,31.2,40.6,13231,80,51.5,57.9,0
15899,34,0,1,0,21870,1,15.8,23.4,18.2,51.5,38.8,12171,93,50.7,19.8,0
19056,7,33,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,51.5,57.9,0
13543,80,4,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,51.5,57.9,0
3680,77,4,1,0,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,52.7,1
3750,55,27,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,51.5,57.9,0
1727,81,9,0,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,0
8595,49,38,0,0,13845,1,7.4,43.1,21.2,27.6,42.7,12034,87,50.7,19.8,0
15726,6,43,1,0,21870,1,11.1,15.6,16.7,37.0,37.7,15754,69,50.7,19.8,1
3943,17,5,1,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,54.5,30.1,1
12830,7,2,1,0,17070,4,1.4,17.2,21.1,10.6,39.3,24454,41,54.5,30.1,0
2156,127,5,0,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,0
5548,34,27,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,54.5,30.1,0
16910,77,37,0,0,28845,1,4.8,34.4,35.9,26.3,40.7,11317,89,48.7,54.2,1
13642,37,4,0,0,13701,1,2.5,19.8,20.3,16.9,41.2,17949,52,48.7,54.2,1
9151,202,4,0,0,13845,1,15.2,30.7,15.8,54.8,33.8,10402,96,48.7,54.2,0
1440,68,2,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,0
14616,6,4,0,0,22849,1,3.3,17.1,9.6,19.2,42.9,22677,44,50.7,19.8,1
9938,7,37,1,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,48.7,54.2,0
2290,68,27,1,0,3870,1,1.9,12.9,7.0,2.5,22.6,88669,1,48.7,54.2,0
10725,65,43,0,0,16845,1,3.3,29.3,24.3,15.9,39.5,23472,57,54.5,30.1,0
6199,17,5,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
17575,33,55,1,0,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,1
4434,94,27,1,1,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,51.5,57.9,0
16079,13,13,1,0,21870,1,5.8,14.9,9.6,33.6,39.6,16907,56,50.7,19.8,0
19144,7,5,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,0
8200,142,5,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,54.5,30.1,0
4301,4,54,1,0,4701,1,3.2,16.8,8.2,14.8,26.2,31908,23,51.5,57.9,0
394,19,14,1,0,1336,1,7.8,17.2,8.8,20.8,38.5,23040,46,54.5,30.1,0
11947,49,4,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,0
5700,4,5,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,54.5,30.1,0
11792,7,34,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,51.5,57.9,0
5481,11,5,1,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,54.5,30.1,0
6198,17,5,1,0,10850,1,6.3,28.6,22.6,24.4,37.9,15957,73,48.7,54.2,1
18182,146,5,0,0,21801,1,3.6,29.6,23.0,16.5,41.0,17285,66,51.5,57.9,0
4034,13,38,1,0,4701,1,6.9,20.5,13.1,41.6,36.4,15089,71,48.7,52.7,0
17787,22,27,0,1,20001,1,3.8,46.6,28.0,28.5,42.5,11888,94,48.7,54.2,1
2994,49,4,0,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,50.7,19.8,0
3627,87,27,0,0,5070,1,10.8,18.7,14.6,37.3,37.3,15461,70,48.7,52.7,0
8278,47,4,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,50.7,19.8,1
1552,22,25,1,1,3345,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,1
14431,6,27,1,0,22849,1,3.3,25.9,19.4,20.5,42.1,16563,62,48.7,54.2,1
1701,49,4,0,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,0
16355,68,25,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,52.7,0
18817,22,25,1,1,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,54.5,30.1,1
2986,59,27,1,0,5070,1,4.1,11.6,12.6,19.3,34.0,24336,35,50.7,19.8,1
8184,49,4,0,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,48.7,52.7,0
7184,17,5,1,0,12345,1,6.3,28.6,22.6,24.4,37.9,15957,73,54.5,30.1,1
12142,49,22,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
1673,3,25,1,0,3870,1,0.8,12.3,5.1,3.6,21.5,71551,2,50.7,19.8,0
5694,12,4,0,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,48.7,52.7,1
11505,12,4,1,0,16845,1,2.9,30.7,23.4,16.5,36.1,18672,58,51.5,57.9,1
1200,7,5,1,0,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,51.5,57.9,0
17534,11,3,1,0,18201,1,3.8,46.6,28.0,28.5,42.5,11888,94,50.7,19.8,0
12109,19,22,1,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,54.5,30.1,0
5347,17,5,1,0,7470,1,14.8,33.9,17.3,35.4,38.0,13781,85,54.5,30.1,1
8458,168,4,1,0,12345,1,3.8,20.6,10.7,9.6,22.2,44689,15,54.5,30.1,1
15930,19,57,1,0,21870,1,2.7,8.9,9.5,18.8,37.6,25113,29,50.7,19.8,0
10114,50,4,0,0,12270,3,1.5,14.7,5.7,3.1,13.5,65526,3,48.7,54.2,0
11995,84,4,0,0,18345,1,2.8,31.1,20.0,14.0,35.7,19398,55,48.7,52.7,0
18707,17,3,1,0,21801,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,52.7,1
19062,12,4,1,0,37845,1,4.0,27.6,28.3,18.5,41.9,15528,74,48.7,54.2,1
3301,6,27,1,1,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,48.7,52.7,1
10552,22,27,1,1,16845,1,1.3,39.7,28.7,18.4,40.4,19252,78,48.7,52.7,1
1103,22,4,1,1,3345,1,1.1,11.4,4.7,2.6,17.0,60058,5,48.7,52.7,1
16663,19,37,1,0,28845,1,7.6,27.9,17.1,31.2,40.6,13231,80,48.7,54.2,0
5616,6,5,0,0,7470,1,2.3,14.7,6.6,12.9,21.7,43198,10,50.7,19.8,1
3190,25,37,0,0,5070,1,6.3,13.1,10.0,22.4,31.6,27249,34,48.7,52.7,0
3860,20,27,0,0,4701,1,10.8,18.7,14.6,37.3,37.3,15461,70,50.7,19.8,0
